,Date,Price,Investment,Shares
0,2025-01-02T05:00:00.000Z,245.4199981689453,10,0.0407464757338808
1,2025-01-03T05:00:00.000Z,243.49000549316406,10,0.04106944751077575
2,2025-01-06T05:00:00.000Z,243.19000244140625,10,0.04112011143389573
3,2025-01-06T05:00:00.000Z,243.19000244140625,10,0.04112011143389573
4,2025-01-06T05:00:00.000Z,243.19000244140625,10,0.04112011143389573
5,2025-01-07T05:00:00.000Z,244.55999755859375,10,0.040889761611991
6,2025-01-08T05:00:00.000Z,245.86000061035156,10,0.04067355395418056
7,2025-01-10T05:00:00.000Z,248.2100067138672,10,0.04028846432258411
8,2025-01-10T05:00:00.000Z,248.2100067138672,10,0.04028846432258411
9,2025-01-13T05:00:00.000Z,245.74000549316406,10,0.04069341489567997
10,2025-01-13T05:00:00.000Z,245.74000549316406,10,0.04069341489567997
11,2025-01-13T05:00:00.000Z,245.74000549316406,10,0.04069341489567997
12,2025-01-14T05:00:00.000Z,247.02999877929688,10,0.040480913449440055
13,2025-01-15T05:00:00.000Z,248.8800048828125,10,0.040180005640503724
14,2025-01-16T05:00:00.000Z,250.60000610351562,10,0.03990422887647213
15,2025-01-17T05:00:00.000Z,249.27000427246094,10,0.04011714136719654
16,2025-01-21T05:00:00.000Z,253.1300048828125,10,0.03950539172402552
17,2025-01-21T05:00:00.000Z,253.1300048828125,10,0.03950539172402552
18,2025-01-21T05:00:00.000Z,253.1300048828125,10,0.03950539172402552
19,2025-01-21T05:00:00.000Z,253.1300048828125,10,0.03950539172402552
20,2025-01-22T05:00:00.000Z,254.42999267578125,10,0.03930354238048871
21,2025-01-23T05:00:00.000Z,254.07000732421875,10,0.03935923057316639
22,2025-01-24T05:00:00.000Z,255.64999389648438,10,0.03911597981124582
23,2025-01-27T05:00:00.000Z,252.99000549316406,10,0.0395272531834077
24,2025-01-27T05:00:00.000Z,252.99000549316406,10,0.0395272531834077
25,2025-01-27T05:00:00.000Z,252.99000549316406,10,0.0395272531834077
26,2025-01-28T05:00:00.000Z,255.17999267578125,10,0.03918802526460408
27,2025-01-29T05:00:00.000Z,254.1999969482422,10,0.03933910354072941
28,2025-01-30T05:00:00.000Z,258.04998779296875,10,0.03875218164328267
29,2025-01-31T05:00:00.000Z,258.55999755859375,10,0.038675742939446166
30,2025-02-03T05:00:00.000Z,259.94000244140625,10,0.03847041588858231
31,2025-02-03T05:00:00.000Z,259.94000244140625,10,0.03847041588858231
32,2025-02-03T05:00:00.000Z,259.94000244140625,10,0.03847041588858231
33,2025-02-04T05:00:00.000Z,262.5,10,0.0380952380952381
34,2025-02-05T05:00:00.000Z,264.1300048828125,10,0.03786014392585475
35,2025-02-06T05:00:00.000Z,263.42999267578125,10,0.03796074964139557
36,2025-02-07T05:00:00.000Z,263.8999938964844,10,0.03789314221781503
37,2025-02-10T05:00:00.000Z,268.3699951171875,10,0.03726198972293218
38,2025-02-10T05:00:00.000Z,268.3699951171875,10,0.03726198972293218
39,2025-02-10T05:00:00.000Z,268.3699951171875,10,0.03726198972293218
40,2025-02-11T05:00:00.000Z,267.3900146484375,10,0.03739855436691579
41,2025-02-12T05:00:00.000Z,267.6700134277344,10,0.03735943325119533
42,2025-02-13T05:00:00.000Z,270.30999755859375,10,0.036994562133545766
43,2025-02-14T05:00:00.000Z,266.2900085449219,10,0.03755304246915838
44,2025-02-18T05:00:00.000Z,270.70001220703125,10,0.03694126172536706
45,2025-02-18T05:00:00.000Z,270.70001220703125,10,0.03694126172536706
46,2025-02-18T05:00:00.000Z,270.70001220703125,10,0.03694126172536706
47,2025-02-18T05:00:00.000Z,270.70001220703125,10,0.03694126172536706
48,2025-02-19T05:00:00.000Z,270.8500061035156,10,0.03692080404154807
49,2025-02-20T05:00:00.000Z,270.989990234375,10,0.036901732020991465
50,2025-02-21T05:00:00.000Z,270.739990234375,10,0.03693580690219857
51,2025-02-24T05:00:00.000Z,272.2099914550781,10,0.03673634441757905
52,2025-02-24T05:00:00.000Z,272.2099914550781,10,0.03673634441757905
53,2025-02-24T05:00:00.000Z,272.2099914550781,10,0.03673634441757905
54,2025-02-25T05:00:00.000Z,268.6199951171875,10,0.0372273106312783
55,2025-02-26T05:00:00.000Z,269.0299987792969,10,0.037170575940877366
56,2025-02-27T05:00:00.000Z,264.92999267578125,10,0.03774582069398954
57,2025-02-28T05:00:00.000Z,263.2699890136719,10,0.03798382047822659
58,2025-03-03T05:00:00.000Z,266.739990234375,10,0.0374896917076939
59,2025-03-03T05:00:00.000Z,266.739990234375,10,0.0374896917076939
60,2025-03-03T05:00:00.000Z,266.739990234375,10,0.0374896917076939
61,2025-03-04T05:00:00.000Z,269.05999755859375,10,0.03716643161651066
62,2025-03-05T05:00:00.000Z,269.6199951171875,10,0.03708923737519395
63,2025-03-06T05:00:00.000Z,268.25,10,0.03727865796831314
64,2025-03-07T05:00:00.000Z,268.3900146484375,10,0.037259210306683506
65,2025-03-10T04:00:00.000Z,266.0400085449219,10,0.03758833137426945
66,2025-03-10T04:00:00.000Z,266.0400085449219,10,0.03758833137426945
67,2025-03-10T04:00:00.000Z,266.0400085449219,10,0.03758833137426945
68,2025-03-11T04:00:00.000Z,269.1600036621094,10,0.03715262246969473
69,2025-03-12T04:00:00.000Z,270.3299865722656,10,0.0369918266441624
70,2025-03-13T04:00:00.000Z,275.1300048828125,10,0.036346453758321816
71,2025-03-14T04:00:00.000Z,275.239990234375,10,0.03633192978783608
72,2025-03-17T04:00:00.000Z,276.7300109863281,10,0.03613630471215517
